,file,nProperty,variable,variable_construct
39,Access04_T.csv,TRACTCE,6-digit Census Tract designation,Access to Pharmacies
40,Access04_T.csv,minDisRx,Distance (mi) to nearest pharmacy,Access to Pharmacies
41,Access04_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to Pharmacies
42,Access04_Z.csv,minDisRx,Distance (mi) to nearest pharmacy,Access to Pharmacies
43,Access05_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to Mental Health Providers
44,Access05_T.csv,TRACTCE,6-digit Census Tract designation,Access to Mental Health Providers
45,Access05_T.csv,minDisMH,Distance (mi) to nearest mental health provider,Access to Mental Health Providers
46,Access05_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to Mental Health Providers
47,Access05_Z.csv,minDisMH,Distance (mi) to nearest mental health provider,Access to Mental Health Providers
48,Access06_T.csv,TRACTCE,6-digit Census Tract designation,Access to Substance Use Treatment Facilities
49,Access06_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to Substance Use Treatment Facilities
50,Access06_T.csv,NAME,,Access to Substance Use Treatment Facilities
51,Access06_T.csv,LSAD,,Access to Substance Use Treatment Facilities
52,Access06_T.csv,ALAND,,Access to Substance Use Treatment Facilities
53,Access06_T.csv,AWATER,,Access to Substance Use Treatment Facilities
54,Access06_T.csv,minDist_SUT,Distance (mi) to substance use treatment (SUT) facility,Access to Substance Use Treatment Facilities
55,Access06_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to Substance Use Treatment Facilities
56,Access06_Z.csv,pop,,Access to Substance Use Treatment Facilities
57,Access06_Z.csv,minDist_SUT,Distance (mi) to substance use treatment (SUT) facility,Access to Substance Use Treatment Facilities
58,Access07_T.csv,TRACTCE,6-digit Census Tract designation,Access to Opioid Treatment Programs
59,Access07_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Access to Opioid Treatment Programs
60,Access07_T.csv,NAME,,Access to Opioid Treatment Programs
61,Access07_T.csv,LSAD,,Access to Opioid Treatment Programs
62,Access07_T.csv,ALAND,,Access to Opioid Treatment Programs
63,Access07_T.csv,AWATER,,Access to Opioid Treatment Programs
64,Access07_T.csv,minDist_OTP,Distance (mi) to opioid use treatment facility,Access to Opioid Treatment Programs
65,Access07_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Access to Opioid Treatment Programs
66,Access07_Z.csv,pop,,Access to Opioid Treatment Programs
67,Access07_Z.csv,minDist_OTP,Distance (mi) to opioid use treatment facility,Access to Opioid Treatment Programs
68,BE01_C.csv,COUNTYFP,5-digit County code (state + county),
69,BE01_C.csv,totUnits,Total Occupied Housing Units,
70,BE01_C.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
71,BE01_C.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
72,BE01_C.csv,mobileP,Mobile Homes %,Mobile Homes
73,BE01_C.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
74,BE01_C.csv,rentalP,Rentals %,Rental Rates
75,BE01_C.csv,unitDens,Housing Unit Density,Housing Unit Density
76,BE01_S.csv,STATEFP,2-digit State code,
77,BE01_S.csv,totUnits,Total Occupied Housing Units,
78,BE01_S.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
79,BE01_S.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
80,BE01_S.csv,mobileP,Mobile Homes %,Mobile Homes
81,BE01_S.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
82,BE01_S.csv,rentalP,Rentals %,Rental Rates
83,BE01_S.csv,unitDens,Housing Unit Density,Housing Unit Density
84,BE01_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),
85,BE01_T.csv,totUnits,Total Occupied Housing Units,
86,BE01_T.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
87,BE01_T.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
88,BE01_T.csv,mobileP,Mobile Homes %,Mobile Homes
89,BE01_T.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
90,BE01_T.csv,rentalP,Rentals %,Rental Rates
91,BE01_T.csv,unitDens,Housing Unit Density,Housing Unit Density
92,BE01_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),
93,BE01_Z.csv,totUnits,Total Occupied Housing Units,
94,BE01_Z.csv,occP,Occupied Housing Units %,Housing Occupancy Rate
95,BE01_Z.csv,vacantP,Vacant Housing Units %,Housing Vacancy Rate
96,BE01_Z.csv,mobileP,Mobile Homes %,Mobile Homes
97,BE01_Z.csv,lngTermP,Long-Term Occupancy %,Long Term Occupancy
98,BE01_Z.csv,rentalP,Rentals %,Rental Rates
99,BE01_Z.csv,unitDens,Housing Unit Density,Housing Unit Density
100,BE02_RUCA_C.csv,COUNTYFP,5-digit County code (state + county),Urban/Suburban/ Rural Classification
101,BE02_RUCA_C.csv,rcaUrbP,,Urban/Suburban/ Rural Classification
102,BE02_RUCA_C.csv,rcaSubrbP,,Urban/Suburban/ Rural Classification
103,BE02_RUCA_C.csv,rcaRuralP,,Urban/Suburban/ Rural Classification
104,BE02_RUCA_C.csv,state,,Urban/Suburban/ Rural Classification
105,BE02_RUCA_C.csv,name,,Urban/Suburban/ Rural Classification
106,BE02_RUCA_C.csv,note,,Urban/Suburban/ Rural Classification
107,BE02_RUCA_C.csv,totPop10,,Urban/Suburban/ Rural Classification
108,BE02_RUCA_C.csv,urbPop10,Urban Population Total (2010),Urban/Suburban/ Rural Classification
109,BE02_RUCA_C.csv,rurlPop10,Rural Population Total (2010),Urban/Suburban/ Rural Classification
110,BE02_RUCA_C.csv,cenRuralP,Rural Population % (2010),Urban/Suburban/ Rural Classification
111,BE02_RUCA_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Urban/Suburban/ Rural Classification
112,BE02_RUCA_T.csv,RUCA1,,Urban/Suburban/ Rural Classification
113,BE02_RUCA_T.csv,RUCA2,,Urban/Suburban/ Rural Classification
114,BE02_RUCA_T.csv,rurality,Urban-Suburban-Rural,Urban/Suburban/ Rural Classification
115,BE02_RUCA_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Urban/Suburban/ Rural Classification
116,BE02_RUCA_Z.csv,RUCA1,,Urban/Suburban/ Rural Classification
117,BE02_RUCA_Z.csv,RUCA2,,Urban/Suburban/ Rural Classification
118,BE02_RUCA_Z.csv,rurality,Urban-Suburban-Rural,Urban/Suburban/ Rural Classification
119,BE03_C.csv,COUNTYFP,5-digit County code (state + county),Alcohol Outlet Density
120,BE03_C.csv,county,,Alcohol Outlet Density
121,BE03_C.csv,county_name,,Alcohol Outlet Density
122,BE03_C.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
123,BE03_C.csv,totPopE,,Alcohol Outlet Density
124,BE03_C.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
125,BE03_C.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
126,BE03_C.csv,alcPerCap,,Alcohol Outlet Density
127,BE03_S.csv,STATEFP,2-digit State code,Alcohol Outlet Density
128,BE03_S.csv,State,,Alcohol Outlet Density
129,BE03_S.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
130,BE03_S.csv,totPopE,,Alcohol Outlet Density
131,BE03_S.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
132,BE03_S.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
133,BE03_S.csv,alcPerCap,,Alcohol Outlet Density
134,BE03_T.csv,GEOID,Unique 11-digit ID for Census Tracts (state + county + tract),Alcohol Outlet Density
135,BE03_T.csv,TRACTCE,6-digit Census Tract designation,Alcohol Outlet Density
136,BE03_T.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
137,BE03_T.csv,totPopE,,Alcohol Outlet Density
138,BE03_T.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
139,BE03_T.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
140,BE03_T.csv,alcPerCap,,Alcohol Outlet Density
141,BE03_Z.csv,ZCTA,5-digit ZIP Code Tract Area (ZCTA),Alcohol Outlet Density
142,BE03_Z.csv,areaSqMi,Land Area (Square Miles),Alcohol Outlet Density
143,BE03_Z.csv,totPopE,,Alcohol Outlet Density
144,BE03_Z.csv,alcTotal,Total Alcohol Outlets,Alcohol Outlet Density
145,BE03_Z.csv,alcDens,Alcohol Outlets Density,Alcohol Outlet Density
146,BE03_Z.csv,alcPerCap,,Alcohol Outlet Density
147,BE04_C.csv,COUNTYFP,5-digit County code (state + county),
148,BE04_C.csv,DmySgrg,Hypersegregated Cities,Hypersegregated City
149,BE04_C.csv,DmyBlckBlt,African American South,Southern Black Belt
150,BE04_C.csv,PrcNtvRsrv,Native American & Tribal Lands,Native American Reservations
151,BE05_C.csv,COUNTYFP,5-digit County code (state + county),Residential Segregation Indices
152,BE05_C.csv,dissim.b,Segregation: Dissimilarity (Black),Residential Segregation Indices
153,BE05_C.csv,inter.bw,Segregation: Interaction (Black),Residential Segregation Indices
154,BE05_C.csv,iso.b,Segregation: Isolation (Black),Residential Segregation Indices
155,BE05_C.csv,dissim.h,Segregation: Dissimilarity (Hispanic),Residential Segregation Indices
156,BE05_C.csv,inter.hw,Segregation: Interaction (Hispanic),Residential Segregation Indices
157,BE05_C.csv,iso.h,Segregation: Isolation (Hispanic),Residential Segregation Indices
158,BE05_C.csv,dissim.a,Segregation: Dissimilarity (Asian),Residential Segregation Indices
159,BE05_C.csv,inter.aw,Segregation: Interaction (Asian),Residential Segregation Indices
160,BE05_C.csv,iso.a,Segregation: Isolation (Asian),Residential Segregation Indices
161,COVID01_C.csv,COUNTYFP,5-digit County code (state + county),Cumulative Case Count
162,COVID01_C.csv,Cm200121,,Cumulative Case Count
163,COVID01_C.csv,Cm200122,,Cumulative Case Count
164,COVID01_C.csv,Cm200123,,Cumulative Case Count
165,COVID01_C.csv,Cm200124,,Cumulative Case Count
166,COVID01_C.csv,Cm200125,,Cumulative Case Count
167,COVID01_C.csv,Cm200126,,Cumulative Case Count
168,COVID01_C.csv,Cm200127,,Cumulative Case Count
169,COVID01_C.csv,Cm200128,,Cumulative Case Count
170,COVID01_C.csv,Cm200129,,Cumulative Case Count
171,COVID01_C.csv,Cm200130,,Cumulative Case Count
172,COVID01_C.csv,Cm200131,,Cumulative Case Count
173,COVID01_C.csv,Cm200201,,Cumulative Case Count
174,COVID01_C.csv,Cm200202,,Cumulative Case Count
175,COVID01_C.csv,Cm200203,,Cumulative Case Count
176,COVID01_C.csv,Cm200204,,Cumulative Case Count
177,COVID01_C.csv,Cm200205,,Cumulative Case Count
178,COVID01_C.csv,Cm200206,,Cumulative Case Count
179,COVID01_C.csv,Cm200207,,Cumulative Case Count
180,COVID01_C.csv,Cm200208,,Cumulative Case Count
181,COVID01_C.csv,Cm200209,,Cumulative Case Count
182,COVID01_C.csv,Cm200210,,Cumulative Case Count
183,COVID01_C.csv,Cm200211,,Cumulative Case Count
184,COVID01_C.csv,Cm200212,,Cumulative Case Count
185,COVID01_C.csv,Cm200213,,Cumulative Case Count
186,COVID01_C.csv,Cm200214,,Cumulative Case Count
187,COVID01_C.csv,Cm200215,,Cumulative Case Count
188,COVID01_C.csv,Cm200216,,Cumulative Case Count
189,COVID01_C.csv,Cm200217,,Cumulative Case Count
190,COVID01_C.csv,Cm200218,,Cumulative Case Count
191,COVID01_C.csv,Cm200219,,Cumulative Case Count
192,COVID01_C.csv,Cm200220,,Cumulative Case Count
193,COVID01_C.csv,Cm200221,,Cumulative Case Count
194,COVID01_C.csv,Cm200222,,Cumulative Case Count
195,COVID01_C.csv,Cm200223,,
196,COVID01_C.csv,Cm200224,,
197,COVID01_C.csv,Cm200225,,
198,COVID01_C.csv,Cm200226,,
199,COVID01_C.csv,Cm200227,,
200,COVID01_C.csv,Cm200228,,
201,COVID01_C.csv,Cm200229,,
202,COVID01_C.csv,Cm200301,,
203,COVID01_C.csv,Cm200302,,
204,COVID01_C.csv,Cm200303,,
205,COVID01_C.csv,Cm200304,,
206,COVID01_C.csv,Cm200305,,
207,COVID01_C.csv,Cm200306,,
208,COVID01_C.csv,Cm200307,,
209,COVID01_C.csv,Cm200308,,
210,COVID01_C.csv,Cm200309,,
211,COVID01_C.csv,Cm200310,,
212,COVID01_C.csv,Cm200311,,
213,COVID01_C.csv,Cm200312,,
214,COVID01_C.csv,Cm200313,,
215,COVID01_C.csv,Cm200314,,
216,COVID01_C.csv,Cm200315,,
217,COVID01_C.csv,Cm200316,,
218,COVID01_C.csv,Cm200317,,
219,COVID01_C.csv,Cm200318,,
220,COVID01_C.csv,Cm200319,,
221,COVID01_C.csv,Cm200320,,
222,COVID01_C.csv,Cm200321,,
223,COVID01_C.csv,Cm200322,,
224,COVID01_C.csv,Cm200323,,
225,COVID01_C.csv,Cm200324,,
226,COVID01_C.csv,Cm200325,,
227,COVID01_C.csv,Cm200326,,
228,COVID01_C.csv,Cm200327,,
229,COVID01_C.csv,Cm200328,,
230,COVID01_C.csv,Cm200329,,
231,COVID01_C.csv,Cm200330,,
232,COVID01_C.csv,Cm200331,,
233,COVID01_C.csv,Cm200401,,
234,COVID01_C.csv,Cm200402,,
235,COVID01_C.csv,Cm200403,,
236,COVID01_C.csv,Cm200404,,
237,COVID01_C.csv,Cm200405,,
238,COVID01_C.csv,Cm200406,,
239,COVID01_C.csv,Cm200407,,
240,COVID01_C.csv,Cm200408,,
241,COVID01_C.csv,Cm200409,,
242,COVID01_C.csv,Cm200410,,
243,COVID01_C.csv,Cm200411,,
244,COVID01_C.csv,Cm200412,,
245,COVID01_C.csv,Cm200413,,
246,COVID01_C.csv,Cm200414,,
247,COVID01_C.csv,Cm200415,,
248,COVID01_C.csv,Cm200416,,
249,COVID01_C.csv,Cm200417,,
250,COVID01_C.csv,Cm200418,,
251,COVID01_C.csv,Cm200419,,
252,COVID01_C.csv,Cm200420,,
253,COVID01_C.csv,Cm200421,,
254,COVID01_C.csv,Cm200422,,
255,COVID01_C.csv,Cm200423,,
256,COVID01_C.csv,Cm200424,,
257,COVID01_C.csv,Cm200425,,
258,COVID01_C.csv,Cm200426,,
259,COVID01_C.csv,Cm200427,,
260,COVID01_C.csv,Cm200428,,
261,COVID01_C.csv,Cm200429,,
262,COVID01_C.csv,Cm200430,,
263,COVID01_C.csv,Cm200501,,
264,COVID01_C.csv,Cm200502,,
265,COVID01_C.csv,Cm200503,,
266,COVID01_C.csv,Cm200504,,
267,COVID01_C.csv,Cm200505,,
268,COVID01_C.csv,Cm200506,,
269,COVID01_C.csv,Cm200507,,
270,COVID01_C.csv,Cm200508,,
271,COVID01_C.csv,Cm200509,,
272,COVID01_C.csv,Cm200510,,
273,COVID01_C.csv,Cm200511,,
274,COVID01_C.csv,Cm200512,,
275,COVID01_C.csv,Cm200513,,
276,COVID01_C.csv,Cm200514,,
277,COVID01_C.csv,Cm200515,,
278,COVID01_C.csv,Cm200516,,
279,COVID01_C.csv,Cm200517,,
280,COVID01_C.csv,Cm200518,,
281,COVID01_C.csv,Cm200519,,
282,COVID01_C.csv,Cm200520,,
283,COVID01_C.csv,Cm200521,,
284,COVID01_C.csv,Cm200522,,
285,COVID01_C.csv,Cm200523,,
286,COVID01_C.csv,Cm200524,,
287,COVID01_C.csv,Cm200525,,
288,COVID01_C.csv,Cm200526,,
289,COVID01_C.csv,Cm200527,,
290,COVID01_C.csv,Cm200528,,
291,COVID01_C.csv,Cm200529,,
292,COVID01_C.csv,Cm200530,,
293,COVID01_C.csv,Cm200531,,
294,COVID01_C.csv,Cm200601,,
295,COVID01_C.csv,Cm200602,,
296,COVID01_C.csv,Cm200603,,
297,COVID01_C.csv,Cm200604,,
298,COVID01_C.csv,Cm200605,,
299,COVID01_C.csv,Cm200606,,
300,COVID01_C.csv,Cm200607,,
301,COVID01_C.csv,Cm200608,,
302,COVID01_C.csv,Cm200609,,
303,COVID01_C.csv,Cm200610,,
304,COVID01_C.csv,Cm200611,,
305,COVID01_C.csv,Cm200612,,
306,COVID01_C.csv,Cm200613,,
307,COVID01_C.csv,Cm200614,,
308,COVID01_C.csv,Cm200615,,
309,COVID01_C.csv,Cm200616,,
310,COVID01_C.csv,Cm200617,,
311,COVID01_C.csv,Cm200618,,
312,COVID01_C.csv,Cm200619,,
313,COVID01_C.csv,Cm200620,,
314,COVID01_C.csv,Cm200621,,
315,COVID01_C.csv,Cm200622,,
316,COVID01_C.csv,Cm200623,,
317,COVID01_C.csv,Cm200624,,
318,COVID01_C.csv,Cm200625,,
319,COVID01_C.csv,Cm200626,,
320,COVID01_C.csv,Cm200627,,
321,COVID01_C.csv,Cm200628,,
322,COVID01_C.csv,Cm200629,,
323,COVID01_C.csv,Cm200630,,
324,COVID01_C.csv,Cm200701,,
325,COVID01_C.csv,Cm200702,,
326,COVID01_C.csv,Cm200703,,
327,COVID01_C.csv,Cm200704,,
328,COVID01_C.csv,Cm200705,,
329,COVID01_C.csv,Cm200706,,
330,COVID01_C.csv,Cm200707,,
331,COVID01_C.csv,Cm200708,,
332,COVID01_C.csv,Cm200709,,
333,COVID01_C.csv,Cm200710,,
334,COVID01_C.csv,Cm200711,,
335,COVID01_C.csv,Cm200712,,
336,COVID01_C.csv,Cm200713,,
337,COVID01_C.csv,Cm200714,,
338,COVID01_C.csv,Cm200715,,
339,COVID01_C.csv,Cm200716,,
340,COVID01_C.csv,Cm200717,,
341,COVID01_C.csv,Cm200718,,
342,COVID01_C.csv,Cm200719,,
343,COVID01_C.csv,Cm200720,,
344,COVID01_C.csv,Cm200721,,
345,COVID01_C.csv,Cm200722,,
346,COVID01_C.csv,Cm200723,,
347,COVID01_C.csv,Cm200724,,
348,COVID01_C.csv,Cm200725,,
349,COVID01_C.csv,Cm200726,,
350,COVID01_C.csv,Cm200727,,
351,COVID01_C.csv,Cm200728,,
352,COVID01_C.csv,Cm200729,,
353,COVID01_C.csv,Cm200730,,
354,COVID01_C.csv,Cm200731,,
355,COVID01_C.csv,Cm200801,,
356,COVID01_C.csv,Cm200802,,
357,COVID01_C.csv,Cm200803,,
358,COVID01_C.csv,Cm200804,,
359,COVID01_C.csv,Cm200805,,
360,COVID01_C.csv,Cm200806,,
361,COVID01_C.csv,Cm200807,,
362,COVID01_C.csv,Cm200808,,
363,COVID01_C.csv,Cm200809,,
364,COVID01_C.csv,Cm200810,,
365,COVID01_C.csv,Cm200811,,
366,COVID01_C.csv,Cm200812,,
367,COVID01_C.csv,Cm200813,,
368,COVID01_C.csv,Cm200814,,
369,COVID01_C.csv,Cm200815,,
370,COVID01_C.csv,Cm200816,,
371,COVID01_C.csv,Cm200817,,
372,COVID01_C.csv,Cm200818,,
373,COVID01_C.csv,Cm200819,,
374,COVID01_C.csv,Cm200820,,
375,COVID01_C.csv,Cm200821,,
376,COVID01_C.csv,Cm200822,,
377,COVID01_C.csv,Cm200823,,
378,COVID01_C.csv,Cm200824,,
379,COVID01_C.csv,Cm200825,,
380,COVID01_C.csv,Cm200826,,
381,COVID01_C.csv,Cm200827,,
382,COVID01_C.csv,Cm200828,,
383,COVID01_C.csv,Cm200829,,
384,COVID01_C.csv,Cm200830,,
385,COVID01_C.csv,Cm200831,,
386,COVID01_C.csv,Cm200901,,
387,COVID01_C.csv,Cm200902,,
388,COVID01_C.csv,Cm200903,,
389,COVID01_C.csv,Cm200904,,
390,COVID01_C.csv,Cm200905,,
391,COVID01_C.csv,Cm200906,,
392,COVID01_C.csv,Cm200907,,
393,COVID01_C.csv,Cm200908,,
394,COVID01_C.csv,Cm200909,,
395,COVID01_C.csv,Cm200910,,
396,COVID01_C.csv,Cm200911,,
397,COVID01_C.csv,Cm200912,,
398,COVID01_C.csv,Cm200913,,
399,COVID01_C.csv,Cm200914,,
400,COVID01_C.csv,Cm200915,,
401,COVID01_C.csv,Cm200916,,
402,COVID01_C.csv,Cm200917,,
403,COVID01_C.csv,Cm200918,,
404,COVID01_C.csv,Cm200919,,
405,COVID01_C.csv,Cm200920,,
406,COVID01_C.csv,Cm200921,,
407,COVID01_C.csv,Cm200922,,
408,COVID01_C.csv,Cm200923,,
409,COVID01_C.csv,Cm200924,,
410,COVID01_C.csv,Cm200925,,
411,COVID01_C.csv,Cm200926,,
412,COVID01_C.csv,Cm200927,,
413,COVID01_C.csv,Cm200928,,
414,COVID01_C.csv,Cm200929,,
415,COVID01_C.csv,Cm200930,,
416,COVID01_C.csv,Cm201001,,
417,COVID01_C.csv,Cm201002,,
418,COVID01_C.csv,Cm201003,,
419,COVID01_C.csv,Cm201004,,
420,COVID01_C.csv,Cm201005,,
421,COVID01_C.csv,Cm201006,,
422,COVID01_C.csv,Cm201007,,
423,COVID01_C.csv,Cm201008,,
424,COVID01_C.csv,Cm201009,,
425,COVID01_C.csv,Cm201010,,
426,COVID01_C.csv,Cm201011,,
427,COVID01_C.csv,Cm201012,,
428,COVID01_C.csv,Cm201013,,
429,COVID01_C.csv,Cm201014,,
430,COVID01_C.csv,Cm201015,,
431,COVID01_C.csv,Cm201016,,
432,COVID01_C.csv,Cm201017,,
433,COVID01_C.csv,Cm201018,,
434,COVID01_C.csv,Cm201019,,
435,COVID01_C.csv,Cm201020,,
436,COVID01_C.csv,Cm201021,,
437,COVID01_C.csv,Cm201022,,
438,COVID01_C.csv,Cm201023,,
439,COVID01_C.csv,Cm201024,,
440,COVID01_C.csv,Cm201025,,
441,COVID01_C.csv,Cm201026,,
442,COVID01_C.csv,Cm201027,,
443,COVID01_C.csv,Cm201028,,
444,COVID01_C.csv,Cm201029,,
445,COVID01_C.csv,Cm201030,,
446,COVID01_C.csv,Cm201031,,
447,COVID01_C.csv,Cm201101,,
448,COVID01_C.csv,Cm201102,,
449,COVID01_C.csv,Cm201103,,
450,COVID01_C.csv,Cm201104,,
451,COVID01_C.csv,Cm201105,,
452,COVID01_C.csv,Cm201106,,
453,COVID01_C.csv,Cm201107,,
454,COVID01_C.csv,Cm201108,,
455,COVID01_C.csv,Cm201109,,
456,COVID01_C.csv,Cm201110,,
457,COVID01_C.csv,Cm201111,,
458,COVID01_C.csv,Cm201112,,
459,COVID01_C.csv,Cm201113,,
460,COVID01_C.csv,Cm201114,,
461,COVID01_C.csv,Cm201115,,
462,COVID01_C.csv,Cm201116,,
463,COVID01_C.csv,Cm201117,,
464,COVID01_C.csv,Cm201118,,
465,COVID01_C.csv,Cm201119,,
466,COVID01_C.csv,Cm201120,,
467,COVID01_C.csv,Cm201121,,
468,COVID01_C.csv,Cm201122,,
469,COVID01_C.csv,Cm201123,,
470,COVID01_C.csv,Cm201124,,
471,COVID01_C.csv,Cm201125,,
472,COVID01_C.csv,Cm201126,,
473,COVID01_C.csv,Cm201127,,
474,COVID01_C.csv,Cm201128,,
475,COVID01_C.csv,Cm201129,,
476,COVID01_C.csv,Cm201130,,
477,COVID01_C.csv,Cm201201,,
478,COVID01_C.csv,Cm201202,,
479,COVID01_C.csv,Cm201203,,
480,COVID01_C.csv,Cm201204,,
481,COVID01_C.csv,Cm201205,,
482,COVID01_C.csv,Cm201206,,
483,COVID01_C.csv,Cm201207,,
484,COVID01_C.csv,Cm201208,,
485,COVID01_C.csv,Cm201209,,
486,COVID01_C.csv,Cm201210,,
487,COVID01_C.csv,Cm201211,,
488,COVID01_C.csv,Cm201212,,
489,COVID01_C.csv,Cm201213,,
490,COVID01_C.csv,Cm201214,,
491,COVID01_C.csv,Cm201215,,
492,COVID01_C.csv,Cm201216,,
493,COVID01_C.csv,Cm201217,,
494,COVID01_C.csv,Cm201218,,
495,COVID01_C.csv,Cm201219,,
496,COVID01_C.csv,Cm201220,,
497,COVID01_C.csv,Cm201221,,
498,COVID01_C.csv,Cm201222,,
499,COVID01_C.csv,Cm201223,,
500,COVID01_C.csv,Cm201224,,
501,COVID01_C.csv,Cm201225,,
502,COVID01_C.csv,Cm201226,,
503,COVID01_C.csv,Cm201227,,
504,COVID01_C.csv,Cm201228,,
505,COVID01_C.csv,Cm201229,,
506,COVID01_C.csv,Cm201230,,
507,COVID01_C.csv,Cm201231,,
508,COVID01_C.csv,Cm210101,,
509,COVID01_C.csv,Cm210102,,
510,COVID01_C.csv,Cm210103,,
511,COVID01_C.csv,Cm210104,,
512,COVID01_C.csv,Cm210105,,
513,COVID01_C.csv,Cm210106,,
514,COVID01_C.csv,Cm210107,,
515,COVID01_C.csv,Cm210108,,
516,COVID01_C.csv,Cm210109,,
517,COVID01_C.csv,Cm210110,,
518,COVID01_C.csv,Cm210111,,
519,COVID01_C.csv,Cm210112,,
520,COVID01_C.csv,Cm210113,,
521,COVID01_C.csv,Cm210114,,
522,COVID01_C.csv,Cm210115,,
523,COVID01_C.csv,Cm210116,,
524,COVID01_C.csv,Cm210117,,
525,COVID01_C.csv,Cm210118,,
526,COVID01_C.csv,Cm210119,,
