,file,nProperty,variable,variable_construct
232,COVID01_C.csv,Cm200331,,Cumulative Case Count
233,COVID01_C.csv,Cm200401,,Cumulative Case Count
234,COVID01_C.csv,Cm200402,,Cumulative Case Count
235,COVID01_C.csv,Cm200403,,Cumulative Case Count
236,COVID01_C.csv,Cm200404,,Cumulative Case Count
237,COVID01_C.csv,Cm200405,,Cumulative Case Count
238,COVID01_C.csv,Cm200406,,Cumulative Case Count
239,COVID01_C.csv,Cm200407,,Cumulative Case Count
240,COVID01_C.csv,Cm200408,,Cumulative Case Count
241,COVID01_C.csv,Cm200409,,Cumulative Case Count
242,COVID01_C.csv,Cm200410,,Cumulative Case Count
243,COVID01_C.csv,Cm200411,,Cumulative Case Count
244,COVID01_C.csv,Cm200412,,Cumulative Case Count
245,COVID01_C.csv,Cm200413,,Cumulative Case Count
246,COVID01_C.csv,Cm200414,,Cumulative Case Count
247,COVID01_C.csv,Cm200415,,Cumulative Case Count
248,COVID01_C.csv,Cm200416,,Cumulative Case Count
249,COVID01_C.csv,Cm200417,,Cumulative Case Count
250,COVID01_C.csv,Cm200418,,Cumulative Case Count
251,COVID01_C.csv,Cm200419,,Cumulative Case Count
252,COVID01_C.csv,Cm200420,,Cumulative Case Count
253,COVID01_C.csv,Cm200421,,Cumulative Case Count
254,COVID01_C.csv,Cm200422,,Cumulative Case Count
255,COVID01_C.csv,Cm200423,,Cumulative Case Count
256,COVID01_C.csv,Cm200424,,Cumulative Case Count
257,COVID01_C.csv,Cm200425,,Cumulative Case Count
258,COVID01_C.csv,Cm200426,,Cumulative Case Count
259,COVID01_C.csv,Cm200427,,Cumulative Case Count
260,COVID01_C.csv,Cm200428,,Cumulative Case Count
261,COVID01_C.csv,Cm200429,,Cumulative Case Count
262,COVID01_C.csv,Cm200430,,Cumulative Case Count
263,COVID01_C.csv,Cm200501,,Cumulative Case Count
264,COVID01_C.csv,Cm200502,,Cumulative Case Count
265,COVID01_C.csv,Cm200503,,Cumulative Case Count
266,COVID01_C.csv,Cm200504,,Cumulative Case Count
267,COVID01_C.csv,Cm200505,,Cumulative Case Count
268,COVID01_C.csv,Cm200506,,Cumulative Case Count
269,COVID01_C.csv,Cm200507,,Cumulative Case Count
270,COVID01_C.csv,Cm200508,,Cumulative Case Count
271,COVID01_C.csv,Cm200509,,Cumulative Case Count
272,COVID01_C.csv,Cm200510,,Cumulative Case Count
273,COVID01_C.csv,Cm200511,,Cumulative Case Count
274,COVID01_C.csv,Cm200512,,Cumulative Case Count
275,COVID01_C.csv,Cm200513,,Cumulative Case Count
276,COVID01_C.csv,Cm200514,,Cumulative Case Count
277,COVID01_C.csv,Cm200515,,Cumulative Case Count
278,COVID01_C.csv,Cm200516,,Cumulative Case Count
279,COVID01_C.csv,Cm200517,,Cumulative Case Count
280,COVID01_C.csv,Cm200518,,Cumulative Case Count
281,COVID01_C.csv,Cm200519,,Cumulative Case Count
282,COVID01_C.csv,Cm200520,,Cumulative Case Count
283,COVID01_C.csv,Cm200521,,Cumulative Case Count
284,COVID01_C.csv,Cm200522,,Cumulative Case Count
285,COVID01_C.csv,Cm200523,,Cumulative Case Count
286,COVID01_C.csv,Cm200524,,Cumulative Case Count
287,COVID01_C.csv,Cm200525,,Cumulative Case Count
288,COVID01_C.csv,Cm200526,,Cumulative Case Count
289,COVID01_C.csv,Cm200527,,Cumulative Case Count
290,COVID01_C.csv,Cm200528,,Cumulative Case Count
291,COVID01_C.csv,Cm200529,,Cumulative Case Count
292,COVID01_C.csv,Cm200530,,Cumulative Case Count
293,COVID01_C.csv,Cm200531,,Cumulative Case Count
294,COVID01_C.csv,Cm200601,,Cumulative Case Count
295,COVID01_C.csv,Cm200602,,Cumulative Case Count
296,COVID01_C.csv,Cm200603,,Cumulative Case Count
297,COVID01_C.csv,Cm200604,,Cumulative Case Count
298,COVID01_C.csv,Cm200605,,Cumulative Case Count
299,COVID01_C.csv,Cm200606,,Cumulative Case Count
300,COVID01_C.csv,Cm200607,,Cumulative Case Count
301,COVID01_C.csv,Cm200608,,Cumulative Case Count
302,COVID01_C.csv,Cm200609,,Cumulative Case Count
303,COVID01_C.csv,Cm200610,,Cumulative Case Count
304,COVID01_C.csv,Cm200611,,Cumulative Case Count
305,COVID01_C.csv,Cm200612,,Cumulative Case Count
306,COVID01_C.csv,Cm200613,,Cumulative Case Count
307,COVID01_C.csv,Cm200614,,Cumulative Case Count
308,COVID01_C.csv,Cm200615,,Cumulative Case Count
309,COVID01_C.csv,Cm200616,,Cumulative Case Count
310,COVID01_C.csv,Cm200617,,Cumulative Case Count
311,COVID01_C.csv,Cm200618,,Cumulative Case Count
312,COVID01_C.csv,Cm200619,,Cumulative Case Count
313,COVID01_C.csv,Cm200620,,Cumulative Case Count
314,COVID01_C.csv,Cm200621,,Cumulative Case Count
315,COVID01_C.csv,Cm200622,,Cumulative Case Count
316,COVID01_C.csv,Cm200623,,Cumulative Case Count
317,COVID01_C.csv,Cm200624,,Cumulative Case Count
318,COVID01_C.csv,Cm200625,,Cumulative Case Count
319,COVID01_C.csv,Cm200626,,Cumulative Case Count
320,COVID01_C.csv,Cm200627,,Cumulative Case Count
321,COVID01_C.csv,Cm200628,,Cumulative Case Count
322,COVID01_C.csv,Cm200629,,Cumulative Case Count
323,COVID01_C.csv,Cm200630,,Cumulative Case Count
324,COVID01_C.csv,Cm200701,,Cumulative Case Count
325,COVID01_C.csv,Cm200702,,Cumulative Case Count
326,COVID01_C.csv,Cm200703,,Cumulative Case Count
327,COVID01_C.csv,Cm200704,,Cumulative Case Count
328,COVID01_C.csv,Cm200705,,Cumulative Case Count
329,COVID01_C.csv,Cm200706,,Cumulative Case Count
330,COVID01_C.csv,Cm200707,,Cumulative Case Count
331,COVID01_C.csv,Cm200708,,Cumulative Case Count
332,COVID01_C.csv,Cm200709,,Cumulative Case Count
333,COVID01_C.csv,Cm200710,,Cumulative Case Count
334,COVID01_C.csv,Cm200711,,Cumulative Case Count
335,COVID01_C.csv,Cm200712,,Cumulative Case Count
336,COVID01_C.csv,Cm200713,,Cumulative Case Count
337,COVID01_C.csv,Cm200714,,Cumulative Case Count
338,COVID01_C.csv,Cm200715,,Cumulative Case Count
339,COVID01_C.csv,Cm200716,,Cumulative Case Count
340,COVID01_C.csv,Cm200717,,Cumulative Case Count
341,COVID01_C.csv,Cm200718,,Cumulative Case Count
342,COVID01_C.csv,Cm200719,,Cumulative Case Count
343,COVID01_C.csv,Cm200720,,Cumulative Case Count
344,COVID01_C.csv,Cm200721,,Cumulative Case Count
345,COVID01_C.csv,Cm200722,,Cumulative Case Count
346,COVID01_C.csv,Cm200723,,Cumulative Case Count
347,COVID01_C.csv,Cm200724,,Cumulative Case Count
348,COVID01_C.csv,Cm200725,,Cumulative Case Count
349,COVID01_C.csv,Cm200726,,Cumulative Case Count
350,COVID01_C.csv,Cm200727,,Cumulative Case Count
351,COVID01_C.csv,Cm200728,,Cumulative Case Count
352,COVID01_C.csv,Cm200729,,Cumulative Case Count
353,COVID01_C.csv,Cm200730,,Cumulative Case Count
354,COVID01_C.csv,Cm200731,,Cumulative Case Count
355,COVID01_C.csv,Cm200801,,Cumulative Case Count
356,COVID01_C.csv,Cm200802,,Cumulative Case Count
357,COVID01_C.csv,Cm200803,,Cumulative Case Count
358,COVID01_C.csv,Cm200804,,Cumulative Case Count
359,COVID01_C.csv,Cm200805,,Cumulative Case Count
360,COVID01_C.csv,Cm200806,,Cumulative Case Count
361,COVID01_C.csv,Cm200807,,Cumulative Case Count
362,COVID01_C.csv,Cm200808,,Cumulative Case Count
363,COVID01_C.csv,Cm200809,,Cumulative Case Count
364,COVID01_C.csv,Cm200810,,Cumulative Case Count
365,COVID01_C.csv,Cm200811,,Cumulative Case Count
366,COVID01_C.csv,Cm200812,,Cumulative Case Count
367,COVID01_C.csv,Cm200813,,Cumulative Case Count
368,COVID01_C.csv,Cm200814,,Cumulative Case Count
369,COVID01_C.csv,Cm200815,,Cumulative Case Count
370,COVID01_C.csv,Cm200816,,Cumulative Case Count
371,COVID01_C.csv,Cm200817,,Cumulative Case Count
372,COVID01_C.csv,Cm200818,,Cumulative Case Count
373,COVID01_C.csv,Cm200819,,Cumulative Case Count
374,COVID01_C.csv,Cm200820,,Cumulative Case Count
375,COVID01_C.csv,Cm200821,,Cumulative Case Count
376,COVID01_C.csv,Cm200822,,Cumulative Case Count
377,COVID01_C.csv,Cm200823,,Cumulative Case Count
378,COVID01_C.csv,Cm200824,,Cumulative Case Count
379,COVID01_C.csv,Cm200825,,Cumulative Case Count
380,COVID01_C.csv,Cm200826,,Cumulative Case Count
381,COVID01_C.csv,Cm200827,,Cumulative Case Count
382,COVID01_C.csv,Cm200828,,Cumulative Case Count
383,COVID01_C.csv,Cm200829,,Cumulative Case Count
384,COVID01_C.csv,Cm200830,,Cumulative Case Count
385,COVID01_C.csv,Cm200831,,Cumulative Case Count
386,COVID01_C.csv,Cm200901,,Cumulative Case Count
387,COVID01_C.csv,Cm200902,,Cumulative Case Count
388,COVID01_C.csv,Cm200903,,Cumulative Case Count
389,COVID01_C.csv,Cm200904,,Cumulative Case Count
390,COVID01_C.csv,Cm200905,,Cumulative Case Count
391,COVID01_C.csv,Cm200906,,Cumulative Case Count
392,COVID01_C.csv,Cm200907,,Cumulative Case Count
393,COVID01_C.csv,Cm200908,,Cumulative Case Count
394,COVID01_C.csv,Cm200909,,Cumulative Case Count
395,COVID01_C.csv,Cm200910,,Cumulative Case Count
396,COVID01_C.csv,Cm200911,,Cumulative Case Count
397,COVID01_C.csv,Cm200912,,Cumulative Case Count
398,COVID01_C.csv,Cm200913,,Cumulative Case Count
399,COVID01_C.csv,Cm200914,,Cumulative Case Count
400,COVID01_C.csv,Cm200915,,Cumulative Case Count
401,COVID01_C.csv,Cm200916,,Cumulative Case Count
402,COVID01_C.csv,Cm200917,,Cumulative Case Count
403,COVID01_C.csv,Cm200918,,Cumulative Case Count
404,COVID01_C.csv,Cm200919,,Cumulative Case Count
405,COVID01_C.csv,Cm200920,,Cumulative Case Count
406,COVID01_C.csv,Cm200921,,Cumulative Case Count
407,COVID01_C.csv,Cm200922,,Cumulative Case Count
408,COVID01_C.csv,Cm200923,,Cumulative Case Count
409,COVID01_C.csv,Cm200924,,Cumulative Case Count
410,COVID01_C.csv,Cm200925,,Cumulative Case Count
411,COVID01_C.csv,Cm200926,,Cumulative Case Count
412,COVID01_C.csv,Cm200927,,Cumulative Case Count
413,COVID01_C.csv,Cm200928,,Cumulative Case Count
414,COVID01_C.csv,Cm200929,,Cumulative Case Count
415,COVID01_C.csv,Cm200930,,Cumulative Case Count
416,COVID01_C.csv,Cm201001,,Cumulative Case Count
417,COVID01_C.csv,Cm201002,,Cumulative Case Count
418,COVID01_C.csv,Cm201003,,Cumulative Case Count
419,COVID01_C.csv,Cm201004,,Cumulative Case Count
420,COVID01_C.csv,Cm201005,,Cumulative Case Count
421,COVID01_C.csv,Cm201006,,Cumulative Case Count
422,COVID01_C.csv,Cm201007,,Cumulative Case Count
423,COVID01_C.csv,Cm201008,,Cumulative Case Count
424,COVID01_C.csv,Cm201009,,Cumulative Case Count
425,COVID01_C.csv,Cm201010,,Cumulative Case Count
426,COVID01_C.csv,Cm201011,,Cumulative Case Count
427,COVID01_C.csv,Cm201012,,Cumulative Case Count
428,COVID01_C.csv,Cm201013,,Cumulative Case Count
429,COVID01_C.csv,Cm201014,,Cumulative Case Count
430,COVID01_C.csv,Cm201015,,Cumulative Case Count
431,COVID01_C.csv,Cm201016,,Cumulative Case Count
432,COVID01_C.csv,Cm201017,,Cumulative Case Count
433,COVID01_C.csv,Cm201018,,Cumulative Case Count
434,COVID01_C.csv,Cm201019,,Cumulative Case Count
435,COVID01_C.csv,Cm201020,,Cumulative Case Count
436,COVID01_C.csv,Cm201021,,Cumulative Case Count
437,COVID01_C.csv,Cm201022,,Cumulative Case Count
438,COVID01_C.csv,Cm201023,,Cumulative Case Count
439,COVID01_C.csv,Cm201024,,Cumulative Case Count
440,COVID01_C.csv,Cm201025,,Cumulative Case Count
441,COVID01_C.csv,Cm201026,,Cumulative Case Count
442,COVID01_C.csv,Cm201027,,Cumulative Case Count
443,COVID01_C.csv,Cm201028,,Cumulative Case Count
444,COVID01_C.csv,Cm201029,,Cumulative Case Count
445,COVID01_C.csv,Cm201030,,Cumulative Case Count
