file,variable_name,variable_description,variable_construct,,theme
COVID01_C.csv,Cm200512,,Cumulative Case Count,,
COVID01_C.csv,Cm200513,,Cumulative Case Count,,
COVID01_C.csv,Cm200514,,Cumulative Case Count,,
COVID01_C.csv,Cm200515,,Cumulative Case Count,,
COVID01_C.csv,Cm200516,,Cumulative Case Count,,
COVID01_C.csv,Cm200517,,Cumulative Case Count,,
COVID01_C.csv,Cm200518,,Cumulative Case Count,,
COVID01_C.csv,Cm200519,,Cumulative Case Count,,
COVID01_C.csv,Cm200520,,Cumulative Case Count,,
COVID01_C.csv,Cm200521,,Cumulative Case Count,,
COVID01_C.csv,Cm200522,,Cumulative Case Count,,
COVID01_C.csv,Cm200523,,Cumulative Case Count,,
COVID01_C.csv,Cm200524,,Cumulative Case Count,,
COVID01_C.csv,Cm200525,,Cumulative Case Count,,
COVID01_C.csv,Cm200526,,Cumulative Case Count,,
COVID01_C.csv,Cm200527,,Cumulative Case Count,,
COVID01_C.csv,Cm200528,,Cumulative Case Count,,
COVID01_C.csv,Cm200529,,Cumulative Case Count,,
COVID01_C.csv,Cm200530,,Cumulative Case Count,,
COVID01_C.csv,Cm200531,,Cumulative Case Count,,
COVID01_C.csv,Cm200601,,Cumulative Case Count,,
COVID01_C.csv,Cm200602,,Cumulative Case Count,,
COVID01_C.csv,Cm200603,,Cumulative Case Count,,
COVID01_C.csv,Cm200604,,Cumulative Case Count,,
COVID01_C.csv,Cm200605,,Cumulative Case Count,,
COVID01_C.csv,Cm200606,,Cumulative Case Count,,
COVID01_C.csv,Cm200607,,Cumulative Case Count,,
COVID01_C.csv,Cm200608,,Cumulative Case Count,,
COVID01_C.csv,Cm200609,,Cumulative Case Count,,
COVID01_C.csv,Cm200610,,Cumulative Case Count,,
COVID01_C.csv,Cm200611,,Cumulative Case Count,,
COVID01_C.csv,Cm200612,,Cumulative Case Count,,
COVID01_C.csv,Cm200613,,Cumulative Case Count,,
COVID01_C.csv,Cm200614,,Cumulative Case Count,,
COVID01_C.csv,Cm200615,,Cumulative Case Count,,
COVID01_C.csv,Cm200616,,Cumulative Case Count,,
COVID01_C.csv,Cm200617,,Cumulative Case Count,,
COVID01_C.csv,Cm200618,,Cumulative Case Count,,
COVID01_C.csv,Cm200619,,Cumulative Case Count,,
COVID01_C.csv,Cm200620,,Cumulative Case Count,,
COVID01_C.csv,Cm200621,,Cumulative Case Count,,
COVID01_C.csv,Cm200622,,Cumulative Case Count,,
COVID01_C.csv,Cm200623,,Cumulative Case Count,,
COVID01_C.csv,Cm200624,,Cumulative Case Count,,
COVID01_C.csv,Cm200625,,Cumulative Case Count,,
COVID01_C.csv,Cm200626,,Cumulative Case Count,,
COVID01_C.csv,Cm200627,,Cumulative Case Count,,
COVID01_C.csv,Cm200628,,Cumulative Case Count,,
COVID01_C.csv,Cm200629,,Cumulative Case Count,,
COVID01_C.csv,Cm200630,,Cumulative Case Count,,
COVID01_C.csv,Cm200701,,Cumulative Case Count,,
COVID01_C.csv,Cm200702,,Cumulative Case Count,,
COVID01_C.csv,Cm200703,,Cumulative Case Count,,
COVID01_C.csv,Cm200704,,Cumulative Case Count,,
COVID01_C.csv,Cm200705,,Cumulative Case Count,,
COVID01_C.csv,Cm200706,,Cumulative Case Count,,
COVID01_C.csv,Cm200707,,Cumulative Case Count,,
COVID01_C.csv,Cm200708,,Cumulative Case Count,,
COVID01_C.csv,Cm200709,,Cumulative Case Count,,
COVID01_C.csv,Cm200710,,Cumulative Case Count,,
COVID01_C.csv,Cm200711,,Cumulative Case Count,,
COVID01_C.csv,Cm200712,,Cumulative Case Count,,
COVID01_C.csv,Cm200713,,Cumulative Case Count,,
COVID01_C.csv,Cm200714,,Cumulative Case Count,,
COVID01_C.csv,Cm200715,,Cumulative Case Count,,
COVID01_C.csv,Cm200716,,Cumulative Case Count,,
COVID01_C.csv,Cm200717,,Cumulative Case Count,,
COVID01_C.csv,Cm200718,,Cumulative Case Count,,
COVID01_C.csv,Cm200719,,Cumulative Case Count,,
COVID01_C.csv,Cm200720,,Cumulative Case Count,,
COVID01_C.csv,Cm200721,,Cumulative Case Count,,
COVID01_C.csv,Cm200722,,Cumulative Case Count,,
COVID01_C.csv,Cm200723,,Cumulative Case Count,,
COVID01_C.csv,Cm200724,,Cumulative Case Count,,
COVID01_C.csv,Cm200725,,Cumulative Case Count,,
COVID01_C.csv,Cm200726,,Cumulative Case Count,,
COVID01_C.csv,Cm200727,,Cumulative Case Count,,
COVID01_C.csv,Cm200728,,Cumulative Case Count,,
COVID01_C.csv,Cm200729,,Cumulative Case Count,,
COVID01_C.csv,Cm200730,,Cumulative Case Count,,
COVID01_C.csv,Cm200731,,Cumulative Case Count,,
COVID01_C.csv,Cm200801,,Cumulative Case Count,,
COVID01_C.csv,Cm200802,,Cumulative Case Count,,
COVID01_C.csv,Cm200803,,Cumulative Case Count,,
COVID01_C.csv,Cm200804,,Cumulative Case Count,,
COVID01_C.csv,Cm200805,,Cumulative Case Count,,
COVID01_C.csv,Cm200806,,Cumulative Case Count,,
COVID01_C.csv,Cm200807,,Cumulative Case Count,,
COVID01_C.csv,Cm200808,,Cumulative Case Count,,
COVID01_C.csv,Cm200809,,Cumulative Case Count,,
COVID01_C.csv,Cm200810,,Cumulative Case Count,,
COVID01_C.csv,Cm200811,,Cumulative Case Count,,
COVID01_C.csv,Cm200812,,Cumulative Case Count,,
COVID01_C.csv,Cm200813,,Cumulative Case Count,,
COVID01_C.csv,Cm200814,,Cumulative Case Count,,
COVID01_C.csv,Cm200815,,Cumulative Case Count,,
COVID01_C.csv,Cm200816,,Cumulative Case Count,,
COVID01_C.csv,Cm200817,,Cumulative Case Count,,
COVID01_C.csv,Cm200818,,Cumulative Case Count,,
COVID01_C.csv,Cm200819,,Cumulative Case Count,,
COVID01_C.csv,Cm200820,,Cumulative Case Count,,
COVID01_C.csv,Cm200821,,Cumulative Case Count,,
COVID01_C.csv,Cm200822,,Cumulative Case Count,,
COVID01_C.csv,Cm200823,,Cumulative Case Count,,
COVID01_C.csv,Cm200824,,Cumulative Case Count,,
COVID01_C.csv,Cm200825,,Cumulative Case Count,,
COVID01_C.csv,Cm200826,,Cumulative Case Count,,
COVID01_C.csv,Cm200827,,Cumulative Case Count,,
COVID01_C.csv,Cm200828,,Cumulative Case Count,,
COVID01_C.csv,Cm200829,,Cumulative Case Count,,
COVID01_C.csv,Cm200830,,Cumulative Case Count,,
COVID01_C.csv,Cm200831,,Cumulative Case Count,,
COVID01_C.csv,Cm200901,,Cumulative Case Count,,
COVID01_C.csv,Cm200902,,Cumulative Case Count,,
COVID01_C.csv,Cm200903,,Cumulative Case Count,,
COVID01_C.csv,Cm200904,,Cumulative Case Count,,
COVID01_C.csv,Cm200905,,Cumulative Case Count,,
COVID01_C.csv,Cm200906,,Cumulative Case Count,,
COVID01_C.csv,Cm200907,,Cumulative Case Count,,
COVID01_C.csv,Cm200908,,Cumulative Case Count,,
COVID01_C.csv,Cm200909,,Cumulative Case Count,,
COVID01_C.csv,Cm200910,,Cumulative Case Count,,
COVID01_C.csv,Cm200911,,Cumulative Case Count,,
COVID01_C.csv,Cm200912,,Cumulative Case Count,,
COVID01_C.csv,Cm200913,,Cumulative Case Count,,
COVID01_C.csv,Cm200914,,Cumulative Case Count,,
COVID01_C.csv,Cm200915,,Cumulative Case Count,,
COVID01_C.csv,Cm200916,,Cumulative Case Count,,
COVID01_C.csv,Cm200917,,Cumulative Case Count,,
COVID01_C.csv,Cm200918,,Cumulative Case Count,,
COVID01_C.csv,Cm200919,,Cumulative Case Count,,
COVID01_C.csv,Cm200920,,Cumulative Case Count,,
COVID01_C.csv,Cm200921,,Cumulative Case Count,,
COVID01_C.csv,Cm200922,,Cumulative Case Count,,
COVID01_C.csv,Cm200923,,Cumulative Case Count,,
COVID01_C.csv,Cm200924,,Cumulative Case Count,,
COVID01_C.csv,Cm200925,,Cumulative Case Count,,
COVID01_C.csv,Cm200926,,Cumulative Case Count,,
COVID01_C.csv,Cm200927,,Cumulative Case Count,,
COVID01_C.csv,Cm200928,,Cumulative Case Count,,
COVID01_C.csv,Cm200929,,Cumulative Case Count,,
COVID01_C.csv,Cm200930,,Cumulative Case Count,,
COVID01_C.csv,Cm201001,,Cumulative Case Count,,
COVID01_C.csv,Cm201002,,Cumulative Case Count,,
COVID01_C.csv,Cm201003,,Cumulative Case Count,,
COVID01_C.csv,Cm201004,,Cumulative Case Count,,
COVID01_C.csv,Cm201005,,Cumulative Case Count,,
COVID01_C.csv,Cm201006,,Cumulative Case Count,,
COVID01_C.csv,Cm201007,,Cumulative Case Count,,
COVID01_C.csv,Cm201008,,Cumulative Case Count,,
COVID01_C.csv,Cm201009,,Cumulative Case Count,,
COVID01_C.csv,Cm201010,,Cumulative Case Count,,
COVID01_C.csv,Cm201011,,Cumulative Case Count,,
COVID01_C.csv,Cm201012,,Cumulative Case Count,,
COVID01_C.csv,Cm201013,,Cumulative Case Count,,
COVID01_C.csv,Cm201014,,Cumulative Case Count,,
COVID01_C.csv,Cm201015,,Cumulative Case Count,,
COVID01_C.csv,Cm201016,,Cumulative Case Count,,
COVID01_C.csv,Cm201017,,Cumulative Case Count,,
COVID01_C.csv,Cm201018,,Cumulative Case Count,,
COVID01_C.csv,Cm201019,,Cumulative Case Count,,
COVID01_C.csv,Cm201020,,Cumulative Case Count,,
COVID01_C.csv,Cm201021,,Cumulative Case Count,,
COVID01_C.csv,Cm201022,,Cumulative Case Count,,
COVID01_C.csv,Cm201023,,Cumulative Case Count,,
COVID01_C.csv,Cm201024,,Cumulative Case Count,,
COVID01_C.csv,Cm201025,,Cumulative Case Count,,
COVID01_C.csv,Cm201026,,Cumulative Case Count,,
COVID01_C.csv,Cm201027,,Cumulative Case Count,,
COVID01_C.csv,Cm201028,,Cumulative Case Count,,
COVID01_C.csv,Cm201029,,Cumulative Case Count,,
COVID01_C.csv,Cm201030,,Cumulative Case Count,,
