file,nProperty,variable,variable_construct
COVID01_C.csv,Cm200721,,
COVID01_C.csv,Cm200722,,
COVID01_C.csv,Cm200723,,
COVID01_C.csv,Cm200724,,
COVID01_C.csv,Cm200725,,
COVID01_C.csv,Cm200726,,
COVID01_C.csv,Cm200727,,
COVID01_C.csv,Cm200728,,
COVID01_C.csv,Cm200729,,
COVID01_C.csv,Cm200730,,
COVID01_C.csv,Cm200731,,
COVID01_C.csv,Cm200801,,
COVID01_C.csv,Cm200802,,
COVID01_C.csv,Cm200803,,
COVID01_C.csv,Cm200804,,
COVID01_C.csv,Cm200805,,
COVID01_C.csv,Cm200806,,
COVID01_C.csv,Cm200807,,
COVID01_C.csv,Cm200808,,
COVID01_C.csv,Cm200809,,
COVID01_C.csv,Cm200810,,
COVID01_C.csv,Cm200811,,
COVID01_C.csv,Cm200812,,
COVID01_C.csv,Cm200813,,
COVID01_C.csv,Cm200814,,
COVID01_C.csv,Cm200815,,
COVID01_C.csv,Cm200816,,
COVID01_C.csv,Cm200817,,
COVID01_C.csv,Cm200818,,
COVID01_C.csv,Cm200819,,
COVID01_C.csv,Cm200820,,
COVID01_C.csv,Cm200821,,
COVID01_C.csv,Cm200822,,
COVID01_C.csv,Cm200823,,
COVID01_C.csv,Cm200824,,
COVID01_C.csv,Cm200825,,
COVID01_C.csv,Cm200826,,
COVID01_C.csv,Cm200827,,
COVID01_C.csv,Cm200828,,
COVID01_C.csv,Cm200829,,
COVID01_C.csv,Cm200830,,
COVID01_C.csv,Cm200831,,
COVID01_C.csv,Cm200901,,
COVID01_C.csv,Cm200902,,
COVID01_C.csv,Cm200903,,
COVID01_C.csv,Cm200904,,
COVID01_C.csv,Cm200905,,
COVID01_C.csv,Cm200906,,
COVID01_C.csv,Cm200907,,
COVID01_C.csv,Cm200908,,
COVID01_C.csv,Cm200909,,
COVID01_C.csv,Cm200910,,
COVID01_C.csv,Cm200911,,
COVID01_C.csv,Cm200912,,
COVID01_C.csv,Cm200913,,
COVID01_C.csv,Cm200914,,
COVID01_C.csv,Cm200915,,
COVID01_C.csv,Cm200916,,
COVID01_C.csv,Cm200917,,
COVID01_C.csv,Cm200918,,
COVID01_C.csv,Cm200919,,
COVID01_C.csv,Cm200920,,
COVID01_C.csv,Cm200921,,
COVID01_C.csv,Cm200922,,
COVID01_C.csv,Cm200923,,
COVID01_C.csv,Cm200924,,
COVID01_C.csv,Cm200925,,
COVID01_C.csv,Cm200926,,
COVID01_C.csv,Cm200927,,
COVID01_C.csv,Cm200928,,
COVID01_C.csv,Cm200929,,
COVID01_C.csv,Cm200930,,
COVID01_C.csv,Cm201001,,
COVID01_C.csv,Cm201002,,
COVID01_C.csv,Cm201003,,
COVID01_C.csv,Cm201004,,
COVID01_C.csv,Cm201005,,
COVID01_C.csv,Cm201006,,
COVID01_C.csv,Cm201007,,
COVID01_C.csv,Cm201008,,
COVID01_C.csv,Cm201009,,
COVID01_C.csv,Cm201010,,
COVID01_C.csv,Cm201011,,
COVID01_C.csv,Cm201012,,
COVID01_C.csv,Cm201013,,
COVID01_C.csv,Cm201014,,
COVID01_C.csv,Cm201015,,
COVID01_C.csv,Cm201016,,
COVID01_C.csv,Cm201017,,
COVID01_C.csv,Cm201018,,
COVID01_C.csv,Cm201019,,
COVID01_C.csv,Cm201020,,
COVID01_C.csv,Cm201021,,
COVID01_C.csv,Cm201022,,
COVID01_C.csv,Cm201023,,
COVID01_C.csv,Cm201024,,
COVID01_C.csv,Cm201025,,
COVID01_C.csv,Cm201026,,
COVID01_C.csv,Cm201027,,
COVID01_C.csv,Cm201028,,
COVID01_C.csv,Cm201029,,
COVID01_C.csv,Cm201030,,
COVID01_C.csv,Cm201031,,
COVID01_C.csv,Cm201101,,
COVID01_C.csv,Cm201102,,
COVID01_C.csv,Cm201103,,
COVID01_C.csv,Cm201104,,
COVID01_C.csv,Cm201105,,
COVID01_C.csv,Cm201106,,
COVID01_C.csv,Cm201107,,
COVID01_C.csv,Cm201108,,
COVID01_C.csv,Cm201109,,
COVID01_C.csv,Cm201110,,
COVID01_C.csv,Cm201111,,
COVID01_C.csv,Cm201112,,
COVID01_C.csv,Cm201113,,
COVID01_C.csv,Cm201114,,
COVID01_C.csv,Cm201115,,
COVID01_C.csv,Cm201116,,
COVID01_C.csv,Cm201117,,
COVID01_C.csv,Cm201118,,
COVID01_C.csv,Cm201119,,
COVID01_C.csv,Cm201120,,
COVID01_C.csv,Cm201121,,
COVID01_C.csv,Cm201122,,
COVID01_C.csv,Cm201123,,
COVID01_C.csv,Cm201124,,
COVID01_C.csv,Cm201125,,
COVID01_C.csv,Cm201126,,
COVID01_C.csv,Cm201127,,
COVID01_C.csv,Cm201128,,
COVID01_C.csv,Cm201129,,
COVID01_C.csv,Cm201130,,
COVID01_C.csv,Cm201201,,
COVID01_C.csv,Cm201202,,
COVID01_C.csv,Cm201203,,
COVID01_C.csv,Cm201204,,
COVID01_C.csv,Cm201205,,
COVID01_C.csv,Cm201206,,
COVID01_C.csv,Cm201207,,
COVID01_C.csv,Cm201208,,
COVID01_C.csv,Cm201209,,
COVID01_C.csv,Cm201210,,
COVID01_C.csv,Cm201211,,
COVID01_C.csv,Cm201212,,
COVID01_C.csv,Cm201213,,
COVID01_C.csv,Cm201214,,
COVID01_C.csv,Cm201215,,
COVID01_C.csv,Cm201216,,
COVID01_C.csv,Cm201217,,
COVID01_C.csv,Cm201218,,
COVID01_C.csv,Cm201219,,
COVID01_C.csv,Cm201220,,
COVID01_C.csv,Cm201221,,
COVID01_C.csv,Cm201222,,
COVID01_C.csv,Cm201223,,
COVID01_C.csv,Cm201224,,
COVID01_C.csv,Cm201225,,
COVID01_C.csv,Cm201226,,
COVID01_C.csv,Cm201227,,
COVID01_C.csv,Cm201228,,
COVID01_C.csv,Cm201229,,
COVID01_C.csv,Cm201230,,
COVID01_C.csv,Cm201231,,
COVID01_C.csv,Cm210101,,
COVID01_C.csv,Cm210102,,
COVID01_C.csv,Cm210103,,
COVID01_C.csv,Cm210104,,
COVID01_C.csv,Cm210105,,
COVID01_C.csv,Cm210106,,
COVID01_C.csv,Cm210107,,
COVID01_C.csv,Cm210108,,
COVID01_C.csv,Cm210109,,
COVID01_C.csv,Cm210110,,
COVID01_C.csv,Cm210111,,
COVID01_C.csv,Cm210112,,
COVID01_C.csv,Cm210113,,
COVID01_C.csv,Cm210114,,
COVID01_C.csv,Cm210115,,
COVID01_C.csv,Cm210116,,
COVID01_C.csv,Cm210117,,
COVID01_C.csv,Cm210118,,
COVID01_C.csv,Cm210119,,
COVID01_C.csv,Cm210120,,
COVID01_C.csv,Cm210121,,
COVID01_C.csv,Cm210122,,
COVID01_C.csv,Cm210123,,
COVID01_C.csv,Cm210124,,
COVID01_C.csv,Cm210125,,
COVID01_C.csv,Cm210126,,
COVID01_C.csv,Cm210127,,
COVID01_C.csv,Cm210128,,
COVID01_C.csv,Cm210129,,
COVID01_C.csv,Cm210130,,
COVID01_C.csv,Cm210131,,
COVID01_C.csv,Cm210201,,
COVID01_C.csv,Cm210202,,
COVID01_C.csv,Cm210203,,
COVID01_C.csv,Cm210204,,
COVID01_C.csv,Cm210205,,
COVID01_C.csv,Cm210206,,
COVID01_C.csv,Cm210207,,
COVID01_C.csv,Cm210208,,
COVID01_C.csv,Cm210209,,
COVID01_C.csv,Cm210210,,
COVID01_C.csv,Cm210211,,
COVID01_C.csv,Cm210212,,
COVID01_C.csv,Cm210213,,
COVID01_C.csv,Cm210214,,
COVID01_C.csv,Cm210215,,
COVID01_C.csv,Cm210216,,
COVID01_C.csv,Cm210217,,
COVID01_C.csv,Cm210218,,
COVID01_C.csv,Cm210219,,
COVID01_C.csv,Cm210220,,
COVID01_C.csv,Cm210221,,
COVID01_C.csv,Cm210222,,
COVID01_C.csv,Cm210223,,
COVID01_C.csv,Cm210224,,
COVID01_C.csv,Cm210225,,
COVID01_C.csv,Cm210226,,
COVID01_C.csv,Cm210227,,
COVID01_C.csv,Cm210228,,
COVID01_C.csv,Cm210301,,
COVID01_C.csv,Cm210302,,
COVID01_C.csv,Cm210303,,
COVID01_S.csv,STATEFP,,
COVID01_S.csv,Cm200121,,
COVID01_S.csv,Cm200122,,
COVID01_S.csv,Cm200123,,
COVID01_S.csv,Cm200124,,
COVID01_S.csv,Cm200125,,
COVID01_S.csv,Cm200126,,
COVID01_S.csv,Cm200127,,
COVID01_S.csv,Cm200128,,
COVID01_S.csv,Cm200129,,
COVID01_S.csv,Cm200130,,
COVID01_S.csv,Cm200131,,
COVID01_S.csv,Cm200201,,
COVID01_S.csv,Cm200202,,
COVID01_S.csv,Cm200203,,
COVID01_S.csv,Cm200204,,
COVID01_S.csv,Cm200205,,
COVID01_S.csv,Cm200206,,
COVID01_S.csv,Cm200207,,
COVID01_S.csv,Cm200208,,
COVID01_S.csv,Cm200209,,
COVID01_S.csv,Cm200210,,
COVID01_S.csv,Cm200211,,
COVID01_S.csv,Cm200212,,
COVID01_S.csv,Cm200213,,
COVID01_S.csv,Cm200214,,
COVID01_S.csv,Cm200215,,
COVID01_S.csv,Cm200216,,
COVID01_S.csv,Cm200217,,
COVID01_S.csv,Cm200218,,
COVID01_S.csv,Cm200219,,
COVID01_S.csv,Cm200220,,
COVID01_S.csv,Cm200221,,
COVID01_S.csv,Cm200222,,
COVID01_S.csv,Cm200223,,
COVID01_S.csv,Cm200224,,
COVID01_S.csv,Cm200225,,
COVID01_S.csv,Cm200226,,
COVID01_S.csv,Cm200227,,
COVID01_S.csv,Cm200228,,
COVID01_S.csv,Cm200229,,
COVID01_S.csv,Cm200301,,
COVID01_S.csv,Cm200302,,
COVID01_S.csv,Cm200303,,
COVID01_S.csv,Cm200304,,
COVID01_S.csv,Cm200305,,
COVID01_S.csv,Cm200306,,
COVID01_S.csv,Cm200307,,
COVID01_S.csv,Cm200308,,
COVID01_S.csv,Cm200309,,
COVID01_S.csv,Cm200310,,
COVID01_S.csv,Cm200311,,
